"","가까운 역","건물층수","보증금/전세","설명","월세","입주날짜","중개사","층","평수"
"26","한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)","6층","3000","한성대.성균관대최적의원룸,침대교체!,깔끔,안전,엘리베이터.","30","협의","88공인중개사(김청자)","3층","6.0"
"27","한성대입구역(4호선), 혜화역(4호선)","5층","7000","♥ 전세 원룸 ♥  혜화역에서 5분, 성대 킹고하우스에서 7분 거리의 전세 원룸 나왔습니다.","0","즉시 입주 가능합니다.","스마일공인중개사(강대흥)","3층","7.0"
"28","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","3층","1000","&#128516;리모델링 옵션있는 투룸 1000-70 (12월말)","70","12월말","호박공인중개사(정경문)","3층","13.0"
"29","혜화역(4호선), 한성대입구역(4호선)","3층","2000","★☆★킹고 바로 아래 리모델링한 깔끔한 집, 보증금/월세 조정가능★☆★","40","빠른입주가능","부동산타운공인중개사(김선덕)","3층","5.0"
"30","혜화역(4호선), 창신역(6호선), 동대문역(1호선,4호선)","6층","5000","대학로 최고급 원룸","80","날짜협의","평화공인중개사(김희식)","4층","15.0"
"31","혜화역(4호선), 한성대입구역(4호선)","4층","1000","혜화역 성균관대 정문 신축원룸","65","즉시","SK부동산공인중개사(강준호)","2층","6.0"
"32","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","500","★★★위치짱!성대철문2분거리, 아주 저렴하게 나온 방!★★★","34","즉시입주가능","부동산타운공인중개사(김선덕)","반지하","4.5"
"33","한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)","3층","12000","한성대역4분,전세,베란다.","0","협의","88공인중개사(김청자)","2층","12.0"
"34","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","5층","4000","3천에30,한성대,성균관대최적의원룸!남향~신축급,채광최고.최고안전","20","협의","88공인중개사(김청자)","1층","6.0"
"35","혜화역(4호선), 동대문역(1호선,4호선), 종로5가역(1호선)","4층","1000","대학로 신축원룸~~","60","협의","SK부동산공인중개사(강준호)","2층","6.0"
"36","혜화역(4호선), 종로5가역(1호선), 동대문역(1호선,4호선)","4층","500","서울대병원 1분거리 리모델링한 원룸(단기가능)","50","2017.3.26","스마일공인중개사(강대흥)","3층","6.0"
"37","혜화역(4호선), 창신역(6호선), 한성대입구역(4호선)","4층","500","혜화역 서울대병원근처 왕룸","60","협의","SK부동산공인중개사(강준호)","2층","9.0"
"38","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","6000","성대정문근처 귀한원룸전세~~~","0","즉시","SK부동산공인중개사(강준호)","2층","5.0"
"39","한성대입구역(4호선), 보문역(6호선), 성신여대입구역(4호선)","3층","1000","럭셔리옥탑원룸 1000-55 (10평)여자만","55","즉시입주","호박공인중개사(정경문)","옥탑방","10.0"
"40","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","4층","1000","성대 킹고하우스 근처,   엘레베이터 있는 신축 원룸 나왔습니다.","60","12월23일 이후 가능합니다.","스마일공인중개사(강대흥)","2층","6.0"
"41","혜화역(4호선), 한성대입구역(4호선), 창신역(6호선)","5층","500","혜화역 2분 거리, 성대 정문 근처에 리모델링한 신축원룸 나왔습니다.","55","즉시입주 가능합니다.","스마일공인중개사(강대흥)","3층","7.0"
"42","혜화역(4호선), 한성대입구역(4호선), 창신역(6호선)","3층","1000","혜화역(4호선) 도보 3분거리에 위치","35","빠른시일 내","SK부동산공인중개사(강준호)","1층","8.0"
"43","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","4층","12000","투룸  1억2천","0","협의.","돌고래부동산공인중개사(성수정)","2층","12.0"
"44","한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)","3층","1000","혜화역이 가까운 넓고 깨끗한 보증금조정가능 분리형 원룸입니다.","60","즉시입주 가능, 보증금조정가능","평화공인중개사(김희식)","2층","8.0"
"45","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","4층","1000","혜화역 성균관대 킹고근처 대박!!!투룸","80","협의","SK부동산공인중개사(강준호)","3층","12.0"
"46","한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)","5층","3200","초역세 원룸전세3천2백 월세가능","0","빨리가능","돌고래부동산공인중개사(성수정)","4층","5.0"
"47","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","25000","◈3룸◈리모델링완료◈","30","즉시입주","코끼리공인중개사(김영삼)","1층","25.0"
"48","혜화역(4호선), 한성대입구역(4호선)","2층","27000","명륜동 귀한 전세","0","조정가능","소망공인중개사(노은상)","1층","43.0"
"49","한성대입구역(4호선), 창신역(6호선), 보문역(6호선)","5층","20500","삼선동 신축빌라전세2억5백 5층 방2+거실(약14평) 신혼부부 한성대생등 강추 주차가능 한성대도보10분","0","날짜협의","스타공인중개사(최은이)","5층","14.0"
"50","한성대입구역(4호선), 혜화역(4호선)","5층","7000","★☆ ▶혜화역 5분  ▶성대 5분  ▶ 귀한 전세 원룸 ★☆","0","즉시입주가능","한솔부동산공인중개사(홍수정)","2층","6.0"
"51","혜화역(4호선), 종로5가역(1호선), 한성대입구역(4호선)","6층","1500","혜화역도보 5분 서울대외래센터 부근 채광좋은 투룸 강추강추 ^^","70","즉시입주가능","에이스공인중개사(이규현)","3층","16.0"
"52","한성대입구역(4호선), 창신역(6호선), 보문역(6호선)","3층","10000","5천에50,거실있는투룸,채광.통풍좋은집","0","협의.","88공인중개사(김청자)","3층","14.0"
"53","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","4층","1000","혜화역 성균관대근처 1.5분리형 원룸","70","협의","SK부동산공인중개사(강준호)","3층","12.0"
"54","혜화역(4호선), 동대문역(1호선,4호선), 종로5가역(1호선)","4층","4000","이화동.동숭동.혜화동.대학로 권역의 편리한 원룸을 소개합니다","45","2018년1월 1일부터.협의가능","한결공인중개사(이상욱)","3층","7.0"
"55","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","3층","16500","전세대출가능.큰방3개,베란다2개,거실,귀한전세","0","협의","88공인중개사(김청자)","2층","17.0"
"56","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","5층","2000","성대정문(철문)에서 2분 거리에 있는 깔끔한 투룸","90","2018년 1월11일 이후 가능합니다.","스마일공인중개사(강대흥)","4층","15.0"
"57","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","5000","◈전세★원룸◈","0","2월 중순","코끼리공인중개사(김영삼)","반지하","4.0"
"58","혜화역(4호선), 종로5가역(1호선), 종로3가역(1호선,3호선,5호선)","3층","2000","서울대치대 후문쪽 리모델링된 작은투룸.","60","즉시입주가능","마로니에공인중개사(윤승일)","2층","8.0"
"59","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","500","혜화역 성균관대학교 원룸","55","협의","SK부동산공인중개사(강준호)","2층","6.0"
""
