,가까운 역,건물층수,보증금/전세,설명,월세,입주날짜,층,판매자벌점여부,평수
30,"혜화역(4호선), 창신역(6호선), 동대문역(1호선,4호선)",6층,5000,"* 대학로에있는 최상의 원룸입니다.

* 앞베란다 데크에서 차와 음악을 들을 수있고 남산이 보여 경치가 좋습니다.

* 뒤베란다는 넓고 북한산이 보입니다.

* 넓은 주차장과 무인 택배함이 있어 편리하고 좋습니다.

* 카드로 움직이는 엘리베이트, 넓은 휴게실이 준비되어있습니다. 

* 혜화역과 버스정류장이 가까이 위치하고 있어 교통이 편리합니다.
",80,날짜협의,4층,False,15.0
31,"혜화역(4호선), 종로5가역(1호선), 종로3가역(1호선,3호선,5호선)",3층,2000,"① 위치

혜화역 도보10분, 서울대치대병원(후문) 도보 1분거리입니다.

② 금액

2000/60, 1000/65만원 가능합니다.

③ 채광

채광 괜찮은 편입니다.

④ 주변환경

주변에 서울대병원 치과대학이 있으며
작은 주거지여서 아주 조용한 곳입니다.
종로 출퇴근하시는 분들에게도 좋은 위치라고 생각됩니다.

⑤ 입주

현재 리모델링후 공실상태이며 언제든 입주가능합니다.

⑥ 건물내부

최근 리모델링하였으며, 실평수 8평조금 안되는 크기입니다.
내부 옵션또한 다 갖추었고, 특이하게 아주 작은 방이 하나 있어서
두분이서 쓰시기도 나쁘지 않다고 생각됩니다.
서울대병원 치대병원까지 입구에서 1분이내이며
아주 조용한 동네입니다. ^^",60,즉시입주가능,2층,False,8.0
32,"한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)",5층,3200,"지하철1분거리의 원룸전세입니다

혼자쓰시기엔 딱! 좋은크기
크지도 작지도 않은^^

아주 저렴하게 나온 원룸입니다

월세전환도가능이요

2천에 10
1천에 25

신축 아니고 상가원룸이어서
여성분보단 남성분이 맞을듯해요!

쌔것은 아니어도 이금액대로 월세 안내시고
전세 찾으시는분이라면 좋은원룸입니다~

*단, 전세대출불가 입니다
",0,빨리가능,4층,False,5.0
33,"한성대입구역(4호선), 창신역(6호선), 보문역(6호선)",5층,20500,"방구조
방2개 +거실 
큰방 침대 들어감
신축빌라라 아주 깨끗함 
구조 잘 빠짐

옵션
가스렌지 싱크대 신발장 있으니 자기 살림살이
있는 사람이 좋음 전세대출 가능함

위치
한성대역도보10분이면 짠 도착!!

날짜는 협의함

이 집을 선택하신 당신은 정말 핵이득!!!
콜 많이 주세요!  소문내지 마시고 조용히 쉿!!

",0,날짜협의,5층,False,14.0
34,"한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)",3층,5000,"한성대역에서4~5분거리에

깔끔하고조용한방3입니다.

거실도괜찮죠.

씽크대도깨끗하답니다.

다용도실있고요.

한층에한기구씩만살아서

독립적이죠.

주택기쪽이라조용한겅도좋네요.

3인가구정도적당해보이고요.

좀넓게쓰실신혼집도

괜찮을듯합니다.",60,즉시,2층,False,16.0
35,"혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)",4층,1000,"혜화역 성균관대학교 근처 분리형 원룸입니다.
금액대비 방넓고 좋습니다. 두분살기에도 충분합니다.
자세한 사항은 전화로 문의주세요.",70,협의,3층,False,12.0
36,"혜화역(4호선), 한성대입구역(4호선), 창신역(6호선)",4층,2000,"안녕하세요?
제가 너무나 사랑하고 아끼는 작은 집을 임대 합니다.
5년전에 구입해서 3년전에 화장실까지 올 리모델링을 해서 그동안 쭈욱 직접 거주 
했습니다.

저희 가족이 오랜시간 해외에서 거주 하는 관계로 큰집이 필요가 없어서 살던 아파트를
임대 놓고 그동안 저희 4가족이 번갈아 가며 한국에 들어 올때마다  재미있고 신기한
마음으로  거주했던 이쁜집 입니다.

혜화역에 도착하면 언제나 생동감이 넘칩니다
혜하역에 내리면 언제나 분위기 넘치는 연극들이 늘 풍년 입니다.
혜화역에 곳곳에는 맛집도 많습니다.

마로니에 공원을 산책하며 각종 버스킹이며 무료 공연들을 둘러보다가
다시 슬슬 산책을  하다보면 낙산공원이 나옵니다.
낙산공원은 한양도성과 어우러져  과거의 역사를 느끼게 해 주며 서울에서 멋진
야경 제1 명소로 꼽히는 곳 입니다.
잠시 다시 슬슬 걷다보면  이화동 벽화 마을이 보입니다.
이화동의 골목 골목을 매일 매일 산책해도 그 아기자기함에 실증이 않습니다.

저희집 바로 뒤가 낙산공원으로 올라가는 입구 입니다.
한국에 머무를 때는 비 오는 날에도  안 거르고 매일 매일 산책을 했답니다.
출국하고 나면 매번 내집 앞마당처럼 즐기던 마로니에 공원과 내집 뒷마당 처럼
거닐던 낙산공원, 한양도성의 성곽길을 그리워 하곤 했습니다.

정말 재미있고 신기한 마을에서 오래 살고 싶은데, 저희 가족이 이제 한국으로
귀국하게 되어 예전에 살던 아파트로 이사를 해야 합니다.
이 마을을 떠나기 싫어서 사실은 우리가족이 다 같이 살수 있는 집을 좀 알아 보기는 
했지만  여러가지 여건이 맞지 않아  부득이 이사를 합니다.

빌라형으로 독립성 좋고, 관리비 없습니다.
공과금은 사용한 만큼 직접 납부하십니다.
냉장고, 드럼세탁기, 에어콘 등 전자제품은 모두 1등급으로 비용이 절감되어  정말
저렴 합니다.
월래 방2개 였는데 제가 리모델링 하면서 방 1나 , 거실1나 , 주방별도(미당이문 설치로 음식냄새 없음), 화장실로 개조 했습니다.
화장실도 타일까지 리모델링 했습니다.
에어콘 빵 빵 하구요~
아주 넓직한 붙박이 장이 있습니다.옷은 물론 이불, 트렁크, 모든 자질구레한 짐도 다 넣을수 있습니다.
신발장과 수납장 작고 예쁜쇼파, 그냥 몸만 들어오시면 됩니다.

저처럼 대학로와 동숭동 거리의 분위기를 느끼시며 마음의 평화를 누리시고 싶으신
분들 편하게 연락 주세요~
도심에서 이집 처럼 공기좋은 집은 찿기 힘들 답니다.
아침마다 새소리를 들으며 잠에서 깨어 난 답니다.~
",60,즉시,1층,False,10.9
37,"한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)",3층,12000,"한성대입구역에서 5분거리  투룸전세가 나와 소개드려요

날짜협의고 전세자금대출 가능하네요

교통이나 위치가 좋아 여학생이나 바쁜 직장인들 출퇴근

밤늦은 귀가길에도 안심할수 있는곳입니다",0,협의,2층,False,13.0
38,"혜화역(4호선), 동대문역(1호선,4호선), 종로5가역(1호선)",3층,50,"서울대병원 혜화역 근처 단기 원룸입니다.
병원과 지하철역 근처에 있어서 병원 관계자분이나 
직장인분들 추천 드립니다.
자세한 사항은 전화주세요.",60,즉시,1층,False,5.0
39,"혜화역(4호선), 한성대입구역(4호선), 창신역(6호선)",5층,2000,"냉장고, 침대,옷장등은 기존세입자분이 쓰던게 있는데요 저렴한 가격에 흥정가능하다고 합니다~",40,바로,2층,False,12.7
40,"한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)",4층,11000,"*  혜화역과 버스정류장이 가까우면서  조용한집.

*  건축한지  3년된집으로  깨끗하고  쾌적합니다.

*  편의점,주민센터,우체국,은행 모두 가까이 있습니다.

*  혜화동로타리에서 가깝습니다.



  ",0,날짜협의,1층,False,66.0
41,"혜화역(4호선), 한성대입구역(4호선)",5층,2000,"ㅁ 위 치
    혜화역 1,4번 출구에서 도보 5분/
    성대정문에서 도보 7분 거리

ㅁ 특 징
    혜화동/명륜동에서 최고급!  럭셔리 분리형 원룸으로 고급스러운
    내부 인터리어의 호텔 느낌나는 방이예요
    넓고 큰방, 거실에 채광 좋고 조용하며 쾌적하고 교통도 좋습니다.
    보시면 좋아하실 것예요

ㅁ 주변환경
     혜화동 로타리 주변에  각종 은행, 우체국, 마트 및 맛집이 있으며
     또한 국민생활관이 있어 건강관리와 취미생활을 할 수 있습니다. 
    ",80,2018년 1월 7일 이후 가능합니다.,4층,False,12.0
42,"혜화역(4호선), 한성대입구역(4호선)",2층,27000,"방4+화장실2+거실+ 반지하 별도 공부방

아남아파트 앞이라 주거 환경 우수

입주시 무상으로 단열공사와 벽지 새것으로 교체

바닥은 마루바닥이고 깨끗함

참고로 현재 차량 2대 주차하여 사용중
",0,조정가능,1층,False,43.0
43,"혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)",4층,4000,"혜화역 성균관대핵교 저렴한 원룸전세입니다.
이금액데에 전세없습니다. 빨리잡으세요
자세한 사항은전화주세요.",0,즉시,반지하,False,5.0
44,"창신역(6호선), 동대문역(1호선,4호선), 동묘앞역(1호선,6호선)",5층,16000,"신축건물로 동대문역과 보도 10분정도 위치하고 성곽은 200m
주차가능하고...출입구가 별도로 있고 테라스가 평수와 별도로 2~3평이 있습니다.",0,원하는 날짜 가능함,2층,False,17.0
45,"한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)",4층,30000,"혜화역 성균관대학교 신축 전세투룸입니다.
방도 넓고 거실도 넓어서 좋습니다.
신혼부부 추천드립니다.반전세도 가능합니다.
자세한 사항은 전화주세요",0,협의,3층,False,15.0
46,"한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)",3층,12000,"한성대역에서

걸어서4분거리에전세나왔습니다.

투룸,1억2천,

베란다있네요.

큰방큰편이고작은방은보통크기구요.

지금세입자분이워낙오래살아서

깔끔하진않지만,

전세매물이많지않으니

놓치지말고구경해보세요.",0,협의,2층,False,12.0
47,"한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)",3층,1000,"* 베란다가 있는 쾌적하고 넓은 분리형 원룸 입니다.

* 혜화역,버스정류장이 가까이있어 교통이 편리합니다.

* 홈플러스 익스프레스가 5분 거리에 있습니다.

* 편의점,카페등 편의시설이 가까이 있습니다.

* 동네가 조용하고 이쁨니다.

* 혜화역에서 마을버스가 다닙니다.

",60,"즉시입주 가능, 보증금조정가능",2층,False,8.0
48,"혜화역(4호선), 창신역(6호선), 동대문역(1호선,4호선)",3층,3000,"대학로 동숭동. 동숭교회 뒷편 리모델링한 투룸이 나왔습니다!!

쇳대박물관 & 동숭교회 사이 골목입니다~

리모델링한 후 첫입주 이시며! 모든 제품들은 다 세제품입니다~^^

최고급 자재를 사용한 인테리어라 보시면 만족하실 거에요~

단점이 있다면 저층이라 채광좋은편은 아니에요^^;

베란다 공간과 그 안쪽으로 화장실이 있어 재미있는 구조입니다!ㅎㅎ

방 두개다 사이즈가 비슷하여 두분이서 사용하시기 좋겠네요!!

공사 다 끝나기도 전에 하나는 나갔고, 이제 단 하나 남았습니다~

빨리 연락주세요^^ !
",60,즉시입주,1층,False,12.0
49,"한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)",2층,500,"한성대입구역에서 5분거리에 넓은 분리형원룸이 나와

소개드려요

날짜 협의고 짐이 많은분 강추네요

교통이나 위치가 좋아 여학생이나 바쁜 직장인들 출퇴근

밤늦은 귀가길에도 안심할수 있는곳입니다",45,협의,1층,False,10.0
50,"혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)",4층,3000,보안 철저합니다. 작은 베란다 있어서 좋고 2층에 침대까지 포함입니다. 에어컨 보일러 모두 잘되고 수압도 좋습니다.무엇보다 학교바로앞이고 지하철역 가깝습니다.,55,바로,2층,False,8.0
51,"혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)",3층,500,"혜화역 성균관대학교 찰문 2분거리 원룸입니니다.
금액대비 방 정말넓고 좋습니다.
자세한 사항은 전화주세오.",55,협의,2층,False,6.0
52,"혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)",5층,2000,"ㅁ 위 치
    혜화역에서 도보 7분 거리/
    성대정문(철문)에서 도보 2분 거리

ㅁ 특 징
   성대정문(철문)에서 2분 거리에 있는 베란다 있는 투룸으로
   내부을 리모텔링하였고,채광좋고 쾌적하여 따뜻합니다.
   또한 교통도 좋고, 밤길에도 안전합니다.

ㅁ 주변환경
   창경궁과 성대명륜당이 옆에 있어 주변공기가 좋아서 산책 등 건강관리을
   할 수 있으며  각종마트,은행 및 맛집이 있어 생활에 편리합니다.
",90,2018년 1월11일 이후 가능합니다.,4층,False,15.0
53,"혜화역(4호선), 동대문역(1호선,4호선), 종로5가역(1호선)",4층,1000,"이렇게 가성비 좋은 방 놓치면 후회하십니다~^^

대학로에서 가장 조용하고 깨끗한 집입니다!

혜화역 도보10분. 서울대병원, 위너스경영아카데미 학생분께 강력 추천드립니다.


 ",45,즉시입주가능,2층,False,6.0
54,"한성대입구역(4호선), 창신역(6호선), 혜화역(4호선)",4층,500,"현재 친구랑 같이 살고요 이름이 행운빌 입니다.
해도 잘들어오구 깨끗해요 2명 살아도 충분하구요
정말 깨끗한 신축이에요
급해요ㅜㅜ 전화 많이주세요",50,12월24일이후,3층,False,7.0
55,"혜화역(4호선), 창신역(6호선), 동대문역(1호선,4호선)",4층,6000,"-위치: 혜화역 걸어서 5분거리, 종로5가역 걸어서 15분 거리입니다. 
         버스정류장도 5분거리에 있습니다. 
-장점: 건물이 깨끗해서 바퀴벌레 등 벌레들이 없습니다. 
        건물주가 차로 30분거리에 살고 계시며 집에 문제가 있을 시 바로 해결해주십니다.
       관리비에 수도세 및 건물 청소비까지 포함되어 있어 건물이 항상 깨끗합니다.
-금액: 6000/30입니다. 보증금 조절은 집주인과 상의필요합니다. 
       주차는 집주인과 확인 후 (추가금액있음) 가능합니다.
-보안시설: 건물출입구는 보안 시스템 자동문입니다.
          
이 건물에서 약 7년을 살았습니다. 원래 내년 6월까지 계약이 되어있으나 제가 결혼을 하게되면서 집을 나오게 되었습니다. 집이 깨끗하고 혼자살기에도 좋으며 3분거리에 파출소도 있어 안전합니다. 
",30,상시가능,2층,False,9.0
56,"한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)",3층,8000,"한성대초역세권에

구조좋은투룸반전세입니다.

방크기두개다비슷하게커서

활용도높은집이네요.

주방공간도넉넉하고요.

신혼집도적당하고

친구나남매등

괜찮을듯합니다.",20,빨라도,2층,False,12.0
